lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
409931179,104 County Road 1705,Runaway Bay,Texas,Wise County,76426,8427400,1453.0,5800.0,https://www.landwatch.com/wise-county-county-texas-farms-and-ranches-for-sale/pid/409931179,Farms and RanchesRecreational PropertyHunting PropertyLakefront PropertyWaterfront PropertyHouse,Active,2021-04-13 13:58:30.403527+00,2021-04-13 13:58:30.403627+00
409934106,1379 Barker Rogers Road,Harper,Texas,Gillespie County,78631,1295000,117.0,11068.376068376068,https://www.landwatch.com/gillespie-county-county-texas-farms-and-ranches-for-sale/pid/409934106,Farms and RanchesHunting PropertyHorse PropertyHouse,Active,2021-04-13 14:00:19.051232+00,2021-04-13 14:00:19.051351+00
335331119,TBD Hwy 281 N,Johnson City,Texas,Blanco County,78636,840000,12.0,70000.0,https://www.landwatch.com/blanco-county-county-texas-undeveloped-land-for-sale/pid/335331119,Undeveloped LandCommercial Property,Active,2021-04-13 14:15:17.773803+00,2021-04-13 14:15:17.773833+00
333600891,,Athens,Texas,Henderson County,70719,550000,1.0,550000.0,https://www.landwatch.com/henderson-county-county-texas-commercial-property-for-sale/pid/333600891,Commercial Property Homesites,Active,2021-04-15 12:14:29.505401+00,2021-04-15 12:14:29.505462+00
