lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
338922242,County Road 200,Burnet,Texas,Williamson County,78642,0,250.0,0.0,https://www.landwatch.com/williamson-county-county-texas-recreational-property-for-sale/pid/338922242,Recreational Property Horse Property Riverfront Property Waterfront Property,Under Contract,2021-04-22 10:53:27.98569+00,2021-04-22 10:53:27.985733+00
409018539,,Liberty Hill,Texas,Williamson County,78642,0,250.0,0.0,https://www.landwatch.com/williamson-county-county-texas-undeveloped-land-for-sale/pid/409018539,Undeveloped Land Riverfront Property Waterfront Property,Under Contract,2021-04-22 10:53:27.989983+00,2021-04-22 10:53:27.990024+00
337955165,TX-130,Lockhart,Texas,Caldwell County,78644,1,3130.0,0.0,https://www.landwatch.com/caldwell-county-county-texas-undeveloped-land-for-sale/pid/337955165,Undeveloped Land Commercial Property,Active,2021-04-22 10:53:43.891815+00,2021-04-22 10:53:43.891856+00
403371319,183a Frontage Road,Leander,Texas,Williamson County,78646,0,14.0,0.0,https://www.landwatch.com/williamson-county-county-texas-commercial-property-for-sale/pid/403371319,Commercial Property,Active,2021-04-22 10:53:47.117456+00,2021-04-22 10:53:47.117481+00
338785465,0 TX Toll Rd 130,Manor,Texas,Travis County,78653,0,140.4,0.0,https://www.landwatch.com/travis-county-county-texas-undeveloped-land-for-sale/pid/338785465,Undeveloped Land Commercial Property,Active,2021-04-22 10:53:56.896548+00,2021-04-22 10:53:56.896582+00
408691093,,Granite Shoals,Texas,Burnet County,78654,0,334.0,0.0,https://www.landwatch.com/burnet-county-county-texas-farms-and-ranches-for-sale/pid/408691093,Farms and Ranches Hunting Property Lakefront Property Waterfront Property House,Under Contract,2021-04-22 10:53:59.010311+00,2021-04-22 10:53:59.010335+00
333376507,,Marble Falls,Texas,Burnet County,78654,1,300.0,0.0,https://www.landwatch.com/burnet-county-county-texas-farms-and-ranches-for-sale/pid/333376507,Farms and Ranches Recreational Property Undeveloped Land Riverfront Property Waterfront Property,Under Contract,2021-04-22 10:53:59.037197+00,2021-04-22 10:53:59.037238+00
409471197,3600 Lakeview Drive,Cottonwood Shores,Texas,Burnet County,78657,0,22.0,0.0,https://www.landwatch.com/burnet-county-county-texas-homes-for-sale/pid/409471197,House,Active,2021-04-22 10:54:16.089877+00,2021-04-22 10:54:16.089919+00
339136518,North Heatherwilde Boulevard,Pflugerville,Texas,Travis County,78660,1,4.41,0.0,https://www.landwatch.com/travis-county-county-texas-undeveloped-land-for-sale/pid/339136518,Undeveloped Land Commercial Property Homesites,Active,2021-04-22 10:54:38.933718+00,2021-04-22 10:54:38.933745+00
408841192,237 Benelli Dr,Round Rock,Texas,Williamson County,78664,1,1.5,0.0,https://www.landwatch.com/williamson-county-county-texas-commercial-property-for-sale/pid/408841192,Commercial Property Homesites,Active,2021-04-22 10:54:45.243587+00,2021-04-22 10:54:45.243615+00
408841190,16809 Calply Dr,Round Rock,Texas,Travis County,78664,1,2.0,0.0,https://www.landwatch.com/travis-county-county-texas-commercial-property-for-sale/pid/408841190,Commercial Property Homesites,Active,2021-04-22 10:54:45.240035+00,2021-04-22 10:54:45.24006+00
331305812,,Austin,Texas,Travis County,78669,1,7.0,0.0,https://www.landwatch.com/travis-county-county-texas-recreational-property-for-sale/pid/331305812,Recreational Property Lakefront Property Waterfront Property House,Active,2021-04-22 10:55:06.583452+00,2021-04-22 10:55:06.583489+00
